Point,Date,Time,Level,Spectral
AH,18-Jan-21,10:18,0.88,Vel
AH,19-Jan-21,15:27,0.77,Vel
AH,19-Jan-21,15:36,0.83,Vel
AH,26-Jan-21,9:59,0.81,Vel
AH,9-Feb-21,20:12,1.09,Vel
AH,11-Feb-21,9:42,1.35,Vel
AH,13-Feb-21,17:27,1.02,Vel
AH,18-Feb-21,9:15,1.1,Vel
AH,19-Feb-21,9:30,1.2,Vel
AH,3-Mar-21,9:16,0.91,Vel
AH,16-Mar-21,13:57,1.01,Vel
AH,5-Apr-21,8:53,1.03,Vel
AH,16-Apr-21,8:11,0.83,Vel
AH,3-May-21,9:18,0.95,Vel
AH,17-May-21,8:22,0.93,Vel
AH,21-May-21,9:02,1.07,Vel
AH,21-May-21,9:15,0.97,Vel
AH,21-May-21,9:21,0.94,Vel
AH,21-May-21,16:41,1.03,Vel
AH,25-May-21,12:03,1.33,Vel
AH,3-Jun-21,8:22,1.62,Vel
AH,16-Jun-21,9:27,1.53,Vel
AH,5-Jul-21,10:57,1.21,Vel
AH,19-Jul-21,10:34,1.5,Vel
AH,24-Jul-21,16:11,1.3,Vel
AH,3-Aug-21,8:54,1.19,Vel
AH,17-Aug-21,8:21,1.4,Vel
AH,2-Sep-21,8:11,1.5,Vel
AH,29-Sep-21,10:47,1.08,Vel
AH,29-Sep-21,16:01,1.03,Vel
AH,30-Sep-21,8:43,0.99,Vel
AH,30-Sep-21,9:48,0.86,Vel
AH,4-Oct-21,7:57,0.86,Vel
AH,7-Oct-21,8:36,0.79,Vel
AH,18-Oct-21,8:02,0.85,Vel
AH,2-Nov-21,8:39,0.94,Vel
AH,17-Nov-21,8:15,0.94,Vel
AH,3-Dec-21,8:21,0.98,Vel
AH,16-Dec-21,8:52,0.84,Vel
AH,5-Jan-22,8:52,0.79,Vel
AH,6-Jan-22,15:09,1.07,Vel
AH,8-Jan-22,16:41,1.53,Vel
AH,8-Jan-22,16:52,1.09,Vel
AH,14-Jan-22,9:35,1.24,Vel
AH,18-Jan-22,13:55,1.08,Vel
AH,24-Jan-22,9:30,0.96,Vel
AH,25-Jan-22,9:08,1.04,Vel
AH,4-Feb-22,8:32,1.02,Vel
AH,17-Feb-22,8:29,1.21,Vel
AH,7-Mar-22,9:16,1.54,Vel
AH,18-Mar-22,8:07,1.12,Vel
AH,2-Apr-22,14:26,1.23,Vel
AH,20-Apr-22,7:58,1.13,Vel
AH,4-May-22,10:05,1.32,Vel
AH,4-May-22,21:52,1.44,Vel
AH,5-May-22,19:18,1.56,Vel
AH,18-May-22,9:13,1.63,Vel
AH,25-May-22,10:06,1.31,Vel
AH,20-Jun-22,9:25,1.19,Vel
AH,6-Jul-22,15:35,1.11,Vel
AH,19-Jul-22,7:45,1.26,Vel
AH,3-Aug-22,14:28,1.38,Vel
AH,19-Aug-22,8:44,1.18,Vel
AH,5-Sep-22,10:18,0.46,Vel
AH,5-Sep-22,20:34,1.23,Vel
AH,20-Sep-22,8:05,1.54,Vel
AH,20-Oct-22,9:42,1.07,Vel
AH,3-Nov-22,13:43,1.37,Vel
AH,12-Nov-22,19:28,1.57,Vel
AH,18-Nov-22,9:39,1.78,Vel
AH,18-Dec-22,10:54,1.51,Vel
AH,23-Jan-23,10:01,1.12,Vel
AH,22-Feb-23,16:46,1.84,Vel
AH,6-Mar-23,8:56,1.87,Vel
AV,18-Jan-21,10:18,0.62,Vel
AV,19-Jan-21,15:28,0.66,Vel
AV,19-Jan-21,15:37,0.65,Vel
AV,26-Jan-21,9:59,0.67,Vel
AV,9-Feb-21,20:13,0.83,Vel
AV,11-Feb-21,9:42,0.94,Vel
AV,13-Feb-21,17:27,0.8,Vel
AV,18-Feb-21,9:15,0.97,Vel
AV,19-Feb-21,9:30,0.85,Vel
AV,3-Mar-21,9:16,0.97,Vel
AV,16-Mar-21,13:58,0.93,Vel
AV,5-Apr-21,8:53,0.99,Vel
AV,16-Apr-21,8:11,0.9,Vel
AV,3-May-21,9:18,1.09,Vel
AV,17-May-21,8:22,1,Vel
AV,21-May-21,9:02,0.98,Vel
AV,21-May-21,9:16,0.9,Vel
AV,21-May-21,9:21,0.9,Vel
AV,21-May-21,16:41,1.01,Vel
AV,25-May-21,12:04,1.1,Vel
AV,3-Jun-21,8:22,1.06,Vel
AV,16-Jun-21,9:27,1.07,Vel
AV,5-Jul-21,10:57,1.2,Vel
AV,19-Jul-21,10:33,1.51,Vel
AV,24-Jul-21,16:11,1.24,Vel
AV,3-Aug-21,8:54,1.56,Vel
AV,17-Aug-21,8:21,1.12,Vel
AV,2-Sep-21,8:11,1.3,Vel
AV,29-Sep-21,10:47,1.33,Vel
AV,29-Sep-21,16:01,1.2,Vel
AV,30-Sep-21,8:44,1.32,Vel
AV,30-Sep-21,9:49,1.36,Vel
AV,4-Oct-21,7:57,1.26,Vel
AV,7-Oct-21,8:36,0.89,Vel
AV,18-Oct-21,8:02,1.08,Vel
AV,2-Nov-21,8:39,1.12,Vel
AV,17-Nov-21,8:15,0.91,Vel
AV,3-Dec-21,8:21,0.91,Vel
AV,16-Dec-21,8:52,1.15,Vel
AV,5-Jan-22,8:52,0.94,Vel
AV,6-Jan-22,15:09,1.05,Vel
AV,8-Jan-22,16:42,0.97,Vel
AV,8-Jan-22,16:52,0.77,Vel
AV,14-Jan-22,9:35,0.77,Vel
AV,18-Jan-22,13:55,0.85,Vel
AV,24-Jan-22,9:30,0.7,Vel
AV,25-Jan-22,9:08,0.84,Vel
AV,4-Feb-22,8:32,0.85,Vel
AV,17-Feb-22,8:29,0.91,Vel
AV,7-Mar-22,9:16,0.85,Vel
AV,18-Mar-22,8:07,0.72,Vel
AV,2-Apr-22,14:26,1.04,Vel
AV,20-Apr-22,7:58,1.03,Vel
AV,4-May-22,10:05,0.82,Vel
AV,4-May-22,21:52,0.7,Vel
AV,5-May-22,19:18,0.76,Vel
AV,18-May-22,9:14,1.12,Vel
AV,25-May-22,10:06,0.95,Vel
AV,20-Jun-22,9:26,0.74,Vel
AV,6-Jul-22,15:35,0.69,Vel
AV,19-Jul-22,7:45,1.15,Vel
AV,3-Aug-22,14:28,0.83,Vel
AV,19-Aug-22,8:44,1.14,Vel
AV,5-Sep-22,10:18,0.34,Vel
AV,5-Sep-22,20:35,0.73,Vel
AV,20-Sep-22,8:05,1.2,Vel
AV,20-Oct-22,9:42,0.85,Vel
AV,3-Nov-22,13:43,1.21,Vel
AV,12-Nov-22,19:28,0.88,Vel
AV,18-Nov-22,9:39,1.32,Vel
AV,18-Dec-22,10:54,1.52,Vel
AV,23-Jan-23,10:01,0.83,Vel
AV,22-Feb-23,16:46,0.96,Vel
AV,6-Mar-23,8:56,0.89,Vel
AA,18-Jan-21,10:18,1.1,Vel
AA,19-Jan-21,15:28,1.09,Vel
AA,19-Jan-21,15:37,0.96,Vel
AA,26-Jan-21,9:59,0.95,Vel
AA,9-Feb-21,20:13,1.81,Vel
AA,11-Feb-21,9:42,1.49,Vel
AA,13-Feb-21,17:28,1.73,Vel
AA,18-Feb-21,9:15,1.56,Vel
AA,19-Feb-21,9:30,1.45,Vel
AA,3-Mar-21,9:16,1.75,Vel
AA,16-Mar-21,13:58,1.86,Vel
AA,5-Apr-21,8:53,1.41,Vel
AA,16-Apr-21,8:11,1.81,Vel
AA,3-May-21,9:18,1.31,Vel
AA,17-May-21,8:22,1.32,Vel
AA,21-May-21,9:02,1.37,Vel
AA,21-May-21,9:16,1.45,Vel
AA,21-May-21,9:21,1.73,Vel
AA,21-May-21,16:41,1.48,Vel
AA,25-May-21,12:04,1.22,Vel
AA,3-Jun-21,8:23,1.52,Vel
AA,16-Jun-21,9:28,1.37,Vel
AA,5-Jul-21,10:57,1.39,Vel
AA,19-Jul-21,10:33,1.34,Vel
AA,24-Jul-21,16:11,1.37,Vel
AA,3-Aug-21,8:54,1.38,Vel
AA,17-Aug-21,8:22,1.32,Vel
AA,2-Sep-21,8:11,1.35,Vel
AA,29-Sep-21,10:47,1.17,Vel
AA,29-Sep-21,16:02,1.45,Vel
AA,30-Sep-21,8:44,1.27,Vel
AA,30-Sep-21,9:49,1.23,Vel
AA,4-Oct-21,7:57,1.45,Vel
AA,7-Oct-21,8:36,0.77,Vel
AA,18-Oct-21,8:02,0.99,Vel
AA,2-Nov-21,8:39,0.92,Vel
AA,17-Nov-21,8:15,0.86,Vel
AA,3-Dec-21,8:21,0.85,Vel
AA,16-Dec-21,8:53,0.93,Vel
AA,5-Jan-22,8:52,0.78,Vel
AA,6-Jan-22,15:09,0.79,Vel
AA,8-Jan-22,16:43,1.09,Vel
